,,,,,
2.3,-12.12660551,,,,
4.2,7.68761497,,,,
5,8.68164342,,,,
4.2,19.96524338,,,,
4.5,34.37518984,,,,
5,25.9230812,,,,
1.5,-3.07307934,,,,
4.3,4.37317096,,,,
3,-3.87601791,,,,
5,29.91449653,,,,
4,16.67060918,,,,
4,19.34153245,,,,
5,35.84199541,,,,
4.9,9.41594951,,,,
4.7,24.35258558,,,,
5,16.90636949,,,,
4.8,24.79052426,,,,
4,22.42166957,,,,
4,10.4369412,,,,
4.6,18.72298166,,,,
4.6,20.46428833,,,,
5,12.62401552,,,,
4.5,2.82940029,,,,
3.2,2.73397341,,,,
4,15.41725955,,,,
3.6,18.56426996,,,,
5,11.013959,,,,
2.9,4.61763993,,,,
4.5,18.23158631,,,,
4.8,2.35607817,,,,
5,24.51973316,,,,
1.5,6.38880104,,,,
3.7,3.87150465,,,,
4.4,17.03619561,,,,
4.5,5.15716676,,,,
4,16.5063577,,,,
5,35.84199541,,,,
2,-5.06024586,,,,
5,34.7986776,,,,
5,17.27127826,,,,
3.5,10.21654532,,,,
4.2,10.23283774,,,,
5,24.16467345,,,,
3.8,20.62948937,,,,
4,5.02006139,,,,
4,28.93177348,,,,
4.9,31.3881092,,,,
3,2.32981108,,,,
5,14.00597596,,,,
5,27.03406157,,,,
4,52.21598484,,,,
5,7.27838397,,,,
4,15.14393151,,,,
5,20.35462891,,,,
1,-16.639242,,,,
4.7,3.07516106,,,,
5,29.38310638,,,,
5,17.14720294,,,,
5,22.27141769,,,,
5,21.92048146,,,,
5,17.5746896,,,,
5,18.8756197,,,,
4,-1.75279573,,,,
4.3,7.16049639,,,,
4,18.37084024,,,,
3.7,11.81987428,,,,
5,9.00674446,,,,
1.5,-2.67400394,,,,
4,25.42157974,,,,
2.9,5.75458078,,,,
5,15.54407063,,,,
5,19.71730129,,,,
4.7,5.55859311,,,,
4,11.09849743,,,,
4,0.47462648,,,,
3,0.77950059,,,,
5,10.00187437,,,,
4.8,19.61760478,,,,
4.4,3.81782938,,,,
3.5,17.88765979,,,,
5,39.37709946,,,,
5,20.57001286,,,,
1.5,-8.48850778,,,,
3.8,18.84974896,,,,
5,17.49485203,,,,
5,44.39254196,,,,
4,10.35136046,,,,
5,19.0996495,,,,
4.6,5.92695243,,,,
5,16.72960272,,,,
4.5,22.0498224,,,,
3.8,20.62948937,,,,
5,19.10486812,,,,
4.5,3.09735859,,,,
1,-25.29356873,,,,
3,13.39040458,,,,
3.5,-10.42178003,,,,
5,19.61822313,,,,
5,25.29124288,,,,
3.5,10.40831211,,,,
2,-3.20139238,,,,
3,14.91664238,,,,
4,-0.92512999,,,,
4.8,34.61611215,,,,
4.4,16.88765399,,,,
2.4,-10.01205362,,,,
3.7,14.25292053,,,,
4.9,15.65783951,,,,
4.5,18.13892446,,,,
2,-8.08242391,,,,
5,38.43534652,,,,
4.1,-12.61671854,,,,
5,28.24226953,,,,
5,3.89551009,,,,
5,16.44620367,,,,
4,4.92976084,,,,
1.5,-8.12484726,,,,
5,16.5898426,,,,
5,20.54824067,,,,
1.5,-3.56792414,,,,
5,9.9637698,,,,
5,17.86155274,,,,
5,8.17841569,,,,
2,5.39315253,,,,
5,11.56927284,,,,
